IB-Nr.,Titel,Autor,Preis,Exemplare
618,Jahrhundertmitte. Deutsche Gedichte der Gegenwart,,8,
619,Castel del Monte. Die Krone Apuliens,,12,2
620,Der Ketzer von Soana,"Hauptmann, Gerhart",7,
621,Die Steinklopfer. Erzählung,"Saar, Ferdinand",8,
624,Eine Hochzeit ohne Musikanten. Erzählungen,"Alejchem, Scholem",10,
624,Eine Hochzeit ohne Musikanten. Erzählungen,SCHOLEM-ALEJCHEM,12,
625,Boris Godunow,"Puschkin, Alexander",,
626,Carmina Burana,,15,2
628,Geschichten von Rot-Hanrahan,"Yeats, William Butler",10,
629,Rotes Meer und gelbe Schiffe. 16 Farbtafeln nach Aquarellen des Künstlers,"Feininger, Lionel",15,
630,FRÜHE ITALIENISCHE TAFELBILDER. 20 Meisterwerke des Lindenau-Museums in Altenburg,,16,
632,Aljoschkas Herz. Fremdes Blut. Zwei Erzählungen,"Scholochow, Michail",8,
636,Farbige Pinselzeichnungen,"Ch'I, Po-shih",17,
636,Farbige Pinselzeichnungen,"Ch'I, Po-shih",12,
637,Meerfahrt mit Don Quijote,"Mann, Thomas",15,
638,Eine Welt schreibt an Goethe,,7,
639,Stationen des Glaubens. Aus den Schriften gesammelt,"Buber, Martin",20,3
640,Italienische Skizzen,"Blechen, Carl",20,
641,Frühe Plastik aus Sardinien,,12,2
643,Das Parlament der Juli-Monarchie. 36 Bronzeplastiken,,15,
647,Im Tal der donnernden Hufe. Erzählung,"Böll, Heinrich",7,
652,Drei Frauen. Novellen,"Musil, Robert",8,
654,Das Mädchen mit den Goldaugen,,20,2
655,Sonaten und Partiten für Violine. Wiedergabe der Handschrift,"Bach, Johann Sebastian",30,
656,"ALI, DER MEISTERDIEB. Eine Geschichte alttürkischer Nomaden","Kamphoevener, Elsa Sophia",10,
660,Das wüste Land. Englisch und Deutsch. Mit den Anmerkungen des Verfassers,"Eliot, T. S.",25,
660,Zeichnungen,"Bernini, Gianlorenzo",8,
661,Hans Huckebein. Der Unglücksrabe. Handschrift mit kolorierten Federzeichnungen,"Busch, Wilhelm",30,
662,Die Verwandlung. Erzählung,"Kafka, Franz",15,
664,Federzeichnungen,"Graf, Urs",20,
665,Von den Aufgaben des Musikers,"Fischer, Edwin",8,
666,Meine Frau. Erzählung,"Tschechow, Anton P.",8,
670,Wagrainer Tagebuch,"Waggerl, Karl Heinrich",10,2
672,Kleine Geister. Eine Auswahl,"Kopisch, August",8,
673,Fürstliches Jagen,,7,
677,Der Riese. Erzählung,"Dery, Tibor",8,2
678,Mit dem Olivenzweig kehr bei und ein. Sonette. Slowakisch und Deutsch,HVIEZDOSLAV,10,
678,Maler der Brücke. Farbige Kartengrüße an Rosa Schapire von Erich Heckel Ernst Ludwig Kirchner Max Pechstein Karl Schmidt-Rottluff,,20,
679,Fabeln und Erzählungen,"Gellert, Christian Fürchtegott",15,2
681,Das Buch von Monelle,"Schwob, Marcel",8,
681,Don Cristobal,"Lorca, Federico",25,
683,Slawobulgarische Geschichte,"Chilandar, Paul",12,
683,Fünfzehn Gedichte von Stefan George. Für Gesang und Klavier,"Schönberg, Arnold",30,
686,November. Fragmente in x-beliebigem Stil,"Flaubert, Gustave",8,
688,Die Sprache,"Kraus, Karl",15,2
