price_id,book_id,amount,imported_price,source,date_added
186,186,,f,,2026-01-26 19:56:38.614712
187,187,,f,,2026-01-26 19:56:38.614712
188,188,,f,,2026-01-26 19:56:38.614712
189,189,,f,,2026-01-26 19:56:38.614712
190,190,,f,,2026-01-26 19:56:38.614712
191,191,,f,,2026-01-26 19:56:38.614712
192,192,,f,,2026-01-26 19:56:38.614712
193,193,,f,,2026-01-26 19:56:38.614712
194,194,,f,,2026-01-26 19:56:38.614712
195,195,,f,,2026-01-26 19:56:38.614712
196,196,,f,,2026-01-26 19:56:38.614712
197,197,,f,,2026-01-26 19:56:38.614712
198,198,,f,,2026-01-26 19:56:38.614712
199,199,,t,,2026-01-26 19:56:38.614712
200,200,,f,,2026-01-26 19:56:38.614712
201,201,,f,,2026-01-26 19:56:38.614712
202,202,,t,,2026-01-26 19:56:38.614712
203,203,,f,,2026-01-26 19:56:38.614712
204,204,,t,,2026-01-26 19:56:38.614712
205,205,,f,,2026-01-26 19:56:38.614712
206,206,,f,,2026-01-26 19:56:38.614712
207,207,,f,,2026-01-26 19:56:38.614712
208,208,,f,,2026-01-26 19:56:38.614712
209,209,,f,,2026-01-26 19:56:38.614712
210,210,,t,,2026-01-26 19:56:38.614712
211,211,,t,,2026-01-26 19:56:38.614712
212,212,,f,,2026-01-26 19:56:38.614712
213,213,,f,,2026-01-26 19:56:38.614712
214,214,,f,,2026-01-26 19:56:38.614712
215,215,,f,,2026-01-26 19:56:38.614712
216,216,,t,,2026-01-26 19:56:38.614712
217,217,,t,,2026-01-26 19:56:38.614712
218,218,,f,,2026-01-26 19:56:38.614712
219,219,,t,,2026-01-26 19:56:38.614712
220,220,,f,,2026-01-26 19:56:38.614712
221,221,,f,,2026-01-26 19:56:38.614712
222,222,,f,,2026-01-26 19:56:38.614712
223,223,,t,,2026-01-26 19:56:38.614712
224,224,,f,,2026-01-26 19:56:38.614712
225,225,,t,,2026-01-26 19:56:38.614712
226,226,,f,,2026-01-26 19:56:38.614712
227,227,,t,,2026-01-26 19:56:38.614712
228,228,,f,,2026-01-26 19:56:38.614712
229,229,,f,,2026-01-26 19:56:38.614712
230,230,,f,,2026-01-26 19:56:38.614712
231,231,,f,,2026-01-26 19:56:38.614712
232,232,,f,,2026-01-26 19:56:38.614712
233,233,,f,,2026-01-26 19:56:38.614712
234,234,,t,,2026-01-26 19:56:38.614712
235,235,,f,,2026-01-26 19:56:38.614712
236,236,,t,,2026-01-26 19:56:38.614712
237,237,,f,,2026-01-26 19:56:38.614712
238,238,,f,,2026-01-26 19:56:38.614712
239,239,,t,,2026-01-26 19:56:38.614712
240,240,,f,,2026-01-26 19:56:38.614712
241,241,,f,,2026-01-26 19:56:38.614712
242,242,,f,,2026-01-26 19:56:38.614712
243,243,,f,,2026-01-26 19:56:38.614712
244,244,,f,,2026-01-26 19:56:38.614712
245,245,,f,,2026-01-26 19:56:38.614712
246,246,,t,,2026-01-26 19:56:38.614712
247,247,,f,,2026-01-26 19:56:38.614712
248,248,,t,,2026-01-26 19:56:38.614712
249,249,,f,,2026-01-26 19:56:38.614712
250,250,,f,,2026-01-26 19:56:38.614712
251,251,,f,,2026-01-26 19:56:38.614712
252,252,,f,,2026-01-26 19:56:38.614712
253,253,,f,,2026-01-26 19:56:38.614712
254,254,,f,,2026-01-26 19:56:38.614712
255,255,,t,,2026-01-26 19:56:38.614712
256,256,,f,,2026-01-26 19:56:38.614712
257,257,,f,,2026-01-26 19:56:38.614712
258,258,,f,,2026-01-26 19:56:38.614712
259,259,,f,,2026-01-26 19:56:38.614712
260,260,,t,,2026-01-26 19:56:38.614712
261,261,,t,,2026-01-26 19:56:38.614712
262,262,,t,,2026-01-26 19:56:38.614712
263,263,,t,,2026-01-26 19:56:38.614712
264,264,,t,,2026-01-26 19:56:38.614712
265,265,,f,,2026-01-26 19:56:38.614712
266,266,,t,,2026-01-26 19:56:38.614712
267,267,,f,,2026-01-26 19:56:38.614712
268,268,,t,,2026-01-26 19:56:38.614712
269,269,,t,,2026-01-26 19:56:38.614712
270,270,,f,,2026-01-26 19:56:38.614712
271,271,,f,,2026-01-26 19:56:38.614712
272,272,,f,,2026-01-26 19:56:38.614712
273,273,,f,,2026-01-26 19:56:38.614712
274,274,,f,,2026-01-26 19:56:38.614712
275,275,,f,,2026-01-26 19:56:38.614712
276,276,,f,,2026-01-26 19:56:38.614712
277,277,,f,,2026-01-26 19:56:38.614712
278,278,,f,,2026-01-26 19:56:38.614712
279,279,,f,,2026-01-26 19:56:38.614712
280,280,,f,,2026-01-26 19:56:38.614712
281,281,,f,,2026-01-26 19:56:38.614712
282,282,,f,,2026-01-26 19:56:38.614712
283,283,,f,,2026-01-26 19:56:38.614712
284,284,,f,,2026-01-26 19:56:38.614712
285,285,,f,,2026-01-26 19:56:38.614712
286,286,,f,,2026-01-26 19:56:38.614712
287,287,,f,,2026-01-26 19:56:38.614712
288,288,,f,,2026-01-26 19:56:38.614712
289,289,,f,,2026-01-26 19:56:38.614712
290,290,,f,,2026-01-26 19:56:38.614712
291,291,,f,,2026-01-26 19:56:38.614712
292,292,,f,,2026-01-26 19:56:38.614712
293,293,,f,,2026-01-26 19:56:38.614712
294,294,,f,,2026-01-26 19:56:38.614712
295,295,,f,,2026-01-26 19:56:38.614712
296,296,,f,,2026-01-26 19:56:38.614712
297,297,,f,,2026-01-26 19:56:38.614712
298,298,,f,,2026-01-26 19:56:38.614712
299,299,,f,,2026-01-26 19:56:38.614712
300,300,,f,,2026-01-26 19:56:38.614712
301,301,,f,,2026-01-26 19:56:38.614712
302,302,,f,,2026-01-26 19:56:38.614712
303,303,,f,,2026-01-26 19:56:38.614712
304,304,,f,,2026-01-26 19:56:38.614712
305,305,,f,,2026-01-26 19:56:38.614712
306,306,,f,,2026-01-26 19:56:38.614712
307,307,,f,,2026-01-26 19:56:38.614712
308,308,,f,,2026-01-26 19:56:38.614712
309,309,,f,,2026-01-26 19:56:38.614712
310,310,,f,,2026-01-26 19:56:38.614712
311,311,,f,,2026-01-26 19:56:38.614712
312,312,,f,,2026-01-26 19:56:38.614712
313,313,,f,,2026-01-26 19:56:38.614712
314,314,,f,,2026-01-26 19:56:38.614712
315,315,,f,,2026-01-26 19:56:38.614712
316,316,,f,,2026-01-26 19:56:38.614712
317,317,,f,,2026-01-26 19:56:38.614712
318,318,,f,,2026-01-26 19:56:38.614712
319,319,,f,,2026-01-26 19:56:38.614712
320,320,,f,,2026-01-26 19:56:38.614712
321,321,,f,,2026-01-26 19:56:38.614712
322,322,,f,,2026-01-26 19:56:38.614712
323,323,,f,,2026-01-26 19:56:38.614712
324,324,,f,,2026-01-26 19:56:38.614712
325,325,,f,,2026-01-26 19:56:38.614712
326,326,,f,,2026-01-26 19:56:38.614712
327,327,,t,,2026-01-26 19:56:38.614712
328,328,,t,,2026-01-26 19:56:38.614712
329,329,20,f,,2026-01-26 19:56:38.614712
330,330,,f,,2026-01-26 19:56:38.614712
331,331,,f,,2026-01-26 19:56:38.614712
332,332,,f,,2026-01-26 19:56:38.614712
333,333,,f,,2026-01-26 19:56:38.614712
334,334,,f,,2026-01-26 19:56:38.614712
335,335,,f,,2026-01-26 19:56:38.614712
336,336,,f,,2026-01-26 19:56:38.614712
337,337,,f,,2026-01-26 19:56:38.614712
338,338,,f,,2026-01-26 19:56:38.614712
339,339,,f,,2026-01-26 19:56:38.614712
340,340,,f,,2026-01-26 19:56:38.614712
341,341,,f,,2026-01-26 19:56:38.614712
342,342,,t,,2026-01-26 19:56:38.614712
343,343,,t,,2026-01-26 19:56:38.614712
